ep_info,queen_id,season,contestant,rank,real_name,age,ep_1,ep_2,ep_3,ep_4,ep_5,ep_6,ep_7,ep_8,ep_9,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,hometown,url_end
NA,76,7,Violet Chachki,1st (Winner),Paul Jason Dardo,22,WIN,HIGH,SAFE,SAFE,LOW,SAFE,SAFE,HIGH,LOW,WIN Mini Chall. Winner,WIN,TOP 3,N/A,WINNER,NA,NA,"Atlanta, GA",Violet_Chachki
NA,77,7,Ginger Minj,2nd/3rd (Runners-Up),Joshua Allen Eads,29,SAFE,WIN Team Captain,HIGH TEAM,HIGH,SAFE,HIGH TEAM Mini Chall. Winner,WIN,BTM2,WIN,BTM2,HIGH Mini Chall. Winner,TOP 3,N/A,RUNNER UP,NA,NA,"Orlando, FL",Ginger_Minj
NA,78,7,Pearl,2nd/3rd (Runners-Up),Matthew James Lent,23,SAFE,SAFE,LOW,BTM2,WIN,SAFE,SAFE,WIN,BTM2,SAFE,HIGH,TOP 3,N/A,RUNNER UP,NA,NA,"Brooklyn, NY",Pearl
NA,79,7,Kennedy Davenport,4th,Reuben Asberry Jr.,33,HIGH,SAFE,BTM2 Team Captain,WIN,HIGH,HIGH TEAM,WIN,SAFE Mini Chall. Winner,HIGH,SAFE,BTM2,ELIM,,GUEST,NA,NA,"Dallas, TX",Kennedy_Davenport
NA,80,7,Katya,5th (Miss Congeniality),Brian Joseph McCook,32,SAFE,BTM2,SAFE,HIGH,SAFE Mini Chall. Winner,WIN,HIGH,HIGH,HIGH,WIN,ELIM,,,MISS CON,NA,NA,"Boston, MA",Katya
NA,81,7,Trixie Mattel,6th (orig. 11th),Brian Michael Firkus,24,SAFE,SAFE Team Captain,HIGH TEAM,ELIM,,,,WIN + RTRN,HIGH Mini Chall. Winner,ELIM,,,,GUEST,NA,NA,"Milwaukee, WI",Trixie_Mattel
NA,82,7,Miss Fame,7th,Kurtis Dam-Mikkelsen,29,HIGH,LOW,HIGH TEAM,HIGH,SAFE,LOW,LOW,LOW,ELIM,,,,,GUEST,NA,NA,"New York, NY",Miss_Fame
NA,83,7,Jaidynn Diore Fierce,8th,Christopher Williams,25,SAFE,SAFE,HIGH TEAM,HIGH,HIGH,BTM2,BTM2,ELIM,,,,,,GUEST,NA,NA,"Nashville, TN",Jaidynn_Diore_Fierce
NA,84,7,Max,9th,Max Malanaphy,22,SAFE,SAFE,WIN Team Captain,SAFE,WIN,SAFE,ELIM,OUT,,,,,,GUEST,NA,NA,"Portsmouth, NH",Max
NA,85,7,Kandy Ho,10th,Frank Diaz,28,BTM2,SAFE,SAFE,LOW,BTM2,ELIM,,OUT,,,,,,GUEST,NA,NA,"Cayey, PR",Kandy_Ho
NA,86,7,Mrs. Kasha Davis,11th,Ed Popil,43,SAFE,HIGH,HIGH TEAM,SAFE,ELIM Mini Chall. Winner,,,OUT,,,,,,GUEST,NA,NA,"Rochester, NY",Mrs._Kasha_Davis
NA,87,7,Jasmine Masters,12th,Martell Robinson,37,LOW,SAFE,ELIM,,,,,OUT,,,,,,GUEST,NA,NA,"Los Angeles, CA",Jasmine_Masters
NA,88,7,Sasha Belle,13th,Jared Breakenridge,28,LOW,ELIM,,,,,,OUT,,,,,,GUEST,NA,NA,"Iowa City, IA",Sasha_Belle
NA,89,7,Tempest DuJour,14th,Patrick Holt,47,ELIM,,,,,,,OUT,,,,,,GUEST,NA,NA,"Tucson, AZ",Tempest_DuJour
NA,90,8,Bob The Drag Queen,1st (Winner),Caldwell Tidicue,29,SAFE,SAFE,WIN,SAFE,WIN,SAFE  Mini Chall. Winner,WIN,BTM2,TOP 3,WINNER,NA,NA,NA,NA,NA,NA,"New York, NY",Bob_The_Drag_Queen
NA,91,8,Kim Chi,2nd/3rd (Runners-Up),Sang-Young Shin,27,WIN,LOW,SAFE,HIGH TEAM,SAFE,HIGH,LOW,WIN,TOP 3,RUNNER UP,NA,NA,NA,NA,NA,NA,"Chicago, IL",Kim_Chi
