ep_info,queen_id,season,contestant,rank,real_name,age,ep_1,ep_2,ep_3,ep_4,ep_5,ep_6,ep_7,ep_8,ep_9,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,hometown,url_end
NA,157,13,Kandy Muse,TBA,Kevin Candelario,25,WIN,LOW,,HIGH,SAFE,BTM2,HIGH,BTM2,SAFE,HIGH,HIGH Mini Chall. Winner,TBA,NA,NA,NA,NA,"New York City, NY",Kandy_Muse
NA,158,13,Gottmik,TBA,Kade Gottlieb,23,WIN,LOW,,SAFE,WIN,SAFE,SAFE Mini Chall. Winner,HIGH,WIN,HIGH,LOW,TBA,NA,NA,NA,NA,"Los Angeles, CA",Gottmik
NA,159,13,Olivia Lux,TBA,Fred Carlton,26,WIN,TOP2,,SAFE,SAFE,WIN,WIN,SAFE,LOW,BTM2,LOW,TBA,NA,NA,NA,NA,"Brooklyn, NY",Olivia_Lux
NA,160,13,Utica Queen,TBA,Ethan Mundt,25,LOSS,,HIGH,SAFE,HIGH,LOW,LOW,SAFE,BTM2,WIN,BTM2,TBA,NA,NA,NA,NA,"Minneapolis, MN",Utica_Queen
NA,161,13,Tina Burner,7th,Kristian Seeber,39,WIN,HIGH,,SAFE,SAFE,HIGH,SAFE,LOW,SAFE Mini Chall. Winner,LOW,ELIM,,NA,NA,NA,NA,"New York City, NY",Tina_Burner
NA,162,13,Denali,8th,Cordero Zuckerman,28,LOSS,,WIN,BTM2,SAFE,SAFE,SAFE,HIGH,HIGH,ELIM,,,NA,NA,NA,NA,"Chicago, IL",Denali
NA,163,13,Elliott with 2 Ts,9th,Elliott Puckett,26,LOSS,HIGH,,SAFE,SAFE,HIGH Mini Chall. Winner,BTM2,SAFE,ELIM,,,,NA,NA,NA,NA,"Las Vegas, NV",Elliott_with_2_Ts
NA,164,13,LaLa Ri,10th,LaRico Potts,30,WIN,HIGH,,LOW,BTM2 Mini Chall. Winner,SAFE,ELIM,,,,,,NA,NA,NA,NA,"Atlanta, GA",LaLa_Ri
NA,165,13,Tamisha Iman,11th,Will Crawford,49,LOSS,,HIGH,SAFE,LOW,ELIM Mini Chall. Winner,,,,,,,NA,NA,NA,NA,"Atlanta, GA",Tamisha_Iman
NA,166,13,Joey Jay,12th,Joseph,30,LOSS,,LOW,SAFE,ELIM,,,,,,,,NA,NA,NA,NA,"Phoenix, AZ",Joey_Jay
NA,167,13,Kahmora Hall,13th,Paul Tran,28,LOSS,,LOW,ELIM,,,,,,,,,NA,NA,NA,NA,"Chicago, IL",Kahmora_Hall
